"","Partner","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","Contract","MonthlyCharges","TotalCharges","Churn"
"3097","Yes",71,"No","No phone service","DSL","No","Yes","Yes","Yes","Two year",61.4,4310.35,"No"
"3098","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.4,42.9,"No"
"3099","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",79.65,2365.15,"Yes"
"3100","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.15,353.65,"No"
"3101","Yes",55,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",94.45,5073.1,"No"
"3102","No",58,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",79.8,4526.85,"No"
"3103","No",5,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",54.2,308.25,"Yes"
"3104","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.45,19.45,"Yes"
"3105","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.05,678.45,"No"
"3106","No",26,"Yes","No","DSL","No","No","No","Yes","Month-to-month",49.15,1237.3,"No"
"3107","No",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.4,1023.95,"No"
"3108","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",113.65,8182.75,"No"
"3109","No",43,"Yes","No","Fiber optic","Yes","Yes","No","Yes","One year",106,4532.3,"No"
"3110","No",56,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.95,1444.05,"No"
"3111","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.1,19.1,"No"
"3112","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Two year",103.4,7372.65,"Yes"
"3113","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Two year",100.55,7325.1,"No"
"3114","Yes",36,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",95.4,3474.2,"No"
"3115","No",5,"Yes","No","DSL","No","No","Yes","Yes","Month-to-month",75.15,392.65,"No"
"3116","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",84.45,1058.6,"Yes"
"3117","No",44,"Yes","No","Fiber optic","No","Yes","Yes","No","One year",89.15,3990.75,"No"
"3118","Yes",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","One year",107.9,7475.85,"No"
"3119","No",44,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.5,835.5,"No"
"3120","Yes",32,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",85.95,2628.6,"Yes"
"3121","Yes",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.95,1718.35,"No"
"3122","No",16,"Yes","No","DSL","No","No","No","Yes","Month-to-month",59.4,1023.9,"Yes"
"3123","Yes",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.5,1193.55,"No"
"3124","No",16,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.95,1205.5,"No"
"3125","Yes",68,"Yes","No","DSL","Yes","Yes","No","Yes","Two year",82.85,5776.45,"No"
"3126","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19,78.9,"No"
"3127","Yes",26,"No","No phone service","DSL","Yes","Yes","No","Yes","Month-to-month",38.85,1025.15,"No"
"3128","No",29,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",30.6,856.35,"Yes"
"3129","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.35,122,"No"
"3130","Yes",70,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",95,6602.9,"No"
"3131","Yes",24,"Yes","No","DSL","Yes","No","No","Yes","One year",74.4,1712.9,"No"
"3132","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",78.45,5682.25,"No"
"3133","No",1,"Yes","No","Fiber optic","No","No","No","Yes","Month-to-month",74.3,74.3,"No"
"3134","Yes",70,"No","No phone service","DSL","No","Yes","Yes","Yes","One year",51.05,3635.15,"No"
"3135","Yes",36,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.2,702.9,"No"
"3136","No",38,"Yes","Yes","Fiber optic","No","No","No","Yes","Month-to-month",99.55,3734.25,"Yes"
"3137","No",17,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70,1144.5,"Yes"
"3138","Yes",41,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","One year",109.1,4454.25,"No"
"3139","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",45.3,45.3,"Yes"
"3140","No",2,"No","No phone service","DSL","No","No","No","Yes","Month-to-month",29.85,75.6,"Yes"
"3141","No",14,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",76.45,1117.55,"No"
"3142","No",2,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Month-to-month",95.1,180.25,"Yes"
"3143","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.8,19.8,"Yes"
"3144","Yes",13,"Yes","Yes","DSL","No","Yes","Yes","Yes","Month-to-month",72.8,930.05,"No"
"3145","No",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",18.95,110.15,"No"
"3146","No",4,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",76.65,333.6,"Yes"
"3147","Yes",5,"Yes","No","Fiber optic","No","Yes","No","Yes","Month-to-month",99.15,465.05,"Yes"
"3148","Yes",15,"Yes","No","Fiber optic","Yes","No","Yes","No","Month-to-month",101.75,1669.4,"No"
"3149","No",47,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",75.45,3545.1,"No"
"3150","No",8,"Yes","No","DSL","No","No","Yes","Yes","Month-to-month",64.1,504.05,"No"
"3151","No",17,"No","No phone service","DSL","No","No","No","No","Month-to-month",25.65,440.2,"No"
"3152","Yes",15,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",75.1,1151.55,"No"
"3153","No",26,"Yes","No","Fiber optic","Yes","No","Yes","Yes","One year",95.85,2475.35,"No"
"3154","No",23,"Yes","Yes","DSL","Yes","No","No","No","Month-to-month",54.4,1249.25,"No"
"3155","No",4,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",72.75,317.75,"No"
"3156","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.85,535.05,"No"
"3157","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.05,461.3,"No"
"3158","No",9,"Yes","No","DSL","No","No","No","No","Month-to-month",44.95,431,"Yes"
"3159","Yes",18,"Yes","No","DSL","No","No","Yes","No","Month-to-month",49.55,878.35,"Yes"
"3160","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.85,335.75,"No"
"3161","Yes",69,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Two year",46.25,3121.4,"No"
"3162","No",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.35,324.8,"No"
"3163","No",19,"Yes","Yes","DSL","No","No","No","No","Month-to-month",69.6,1394.55,"No"
"3164","No",39,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",90.7,3413.25,"No"
"3165","No",31,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",101.4,3143.65,"No"
"3166","Yes",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.25,439.75,"No"
"3167","Yes",14,"Yes","No","DSL","No","No","No","Yes","Month-to-month",48.8,664.4,"No"
"3168","Yes",64,"Yes","No","DSL","Yes","Yes","Yes","Yes","Two year",74.35,4759.55,"No"
"3169","No",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.35,1033,"No"
"3170","Yes",52,"Yes","No","DSL","No","Yes","Yes","Yes","One year",68.75,3482.85,"No"
"3171","No",28,"Yes","Yes","Fiber optic","No","Yes","No","No","One year",100.2,2688.45,"No"
"3172","No",21,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.85,435.25,"No"
"3173","No",25,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",95.9,2448.75,"Yes"
"3174","Yes",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.35,307,"No"
"3175","Yes",58,"No","No phone service","DSL","No","No","No","No","One year",45,2689.35,"No"
"3176","Yes",17,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",81.5,1329.2,"Yes"
"3177","Yes",51,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.5,1281.25,"No"
"3178","Yes",72,"No","No phone service","DSL","Yes","No","Yes","Yes","Two year",48.9,3527,"No"
"3179","Yes",52,"Yes","No","Fiber optic","Yes","No","No","No","Month-to-month",84.1,4348.65,"Yes"
"3180","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.6,561.15,"No"
"3181","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20,63.6,"No"
"3182","Yes",64,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",81.3,5129.3,"No"
"3183","Yes",45,"Yes","No","Fiber optic","No","No","No","Yes","Two year",95.2,4285.8,"No"
"3184","Yes",3,"No","No phone service","DSL","No","No","No","No","Month-to-month",36.45,93.7,"Yes"
"3185","Yes",71,"Yes","Yes","DSL","No","Yes","Yes","Yes","Two year",83.3,5894.5,"No"
"3186","No",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",25.05,25.05,"Yes"
"3187","Yes",58,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.3,1160.75,"No"
"3188","Yes",34,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",89.85,3091.75,"No"
"3189","No",8,"Yes","No","DSL","Yes","No","No","No","Month-to-month",49.85,365.55,"Yes"
"3190","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.8,272.95,"No"
"3191","Yes",66,"No","No phone service","DSL","No","No","Yes","Yes","Two year",54.65,3632,"No"
"3192","No",12,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",29.35,381.2,"No"
"3193","No",58,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.15,1035.5,"No"
"3194","Yes",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.1,52,"No"
"3195","Yes",43,"No","No phone service","DSL","No","Yes","Yes","No","Month-to-month",55.55,2342.2,"Yes"
"3196","No",9,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",80.55,653.9,"No"
"3197","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.25,71.2,"No"
"3198","Yes",22,"Yes","No","DSL","No","Yes","No","No","One year",69.5,1498.2,"Yes"
"3199","Yes",40,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",106,4178.65,"No"
"3200","No",68,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.5,1821.8,"No"
"3201","Yes",54,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",104.3,5278.15,"Yes"
"3202","No",50,"Yes","Yes","DSL","No","Yes","No","Yes","Two year",79.6,4024.2,"No"
"3203","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",55.25,55.25,"No"
"3204","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",88.05,6520.8,"No"
"3205","No",40,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.4,854.9,"No"
"3206","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",117.6,8308.9,"No"
"3207","No",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20,109.2,"No"
"3208","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.65,92.05,"No"
"3209","Yes",48,"Yes","Yes","DSL","No","Yes","Yes","No","One year",70.55,3420.5,"No"
"3210","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",93.85,93.85,"Yes"
"3211","Yes",64,"Yes","No","DSL","Yes","No","No","Yes","One year",65.8,4068,"No"
"3212","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.05,337.9,"No"
"3213","Yes",40,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",80,3168.75,"No"
"3214","Yes",41,"No","No phone service","DSL","Yes","No","Yes","No","One year",35.4,1412.4,"No"
"3215","No",51,"Yes","Yes","Fiber optic","No","Yes","No","No","One year",79.6,3974.7,"No"
"3216","Yes",41,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",80.25,3439,"No"
"3217","Yes",1,"Yes","No","DSL","No","No","Yes","No","Month-to-month",50.45,50.45,"Yes"
"3218","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.45,42.45,"No"
"3219","No",68,"Yes","No","Fiber optic","No","Yes","Yes","No","One year",79.6,5461.45,"No"
"3220","Yes",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.7,571.75,"No"
"3221","Yes",70,"Yes","Yes","DSL","Yes","No","Yes","Yes","Two year",77.3,5498.2,"No"
"3222","No",3,"No","No phone service","DSL","No","No","No","Yes","Month-to-month",29.75,96.85,"No"
"3223","No",2,"Yes","No","DSL","No","No","No","No","Month-to-month",44.9,111.05,"No"
"3224","Yes",3,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",29.8,94.4,"No"
"3225","No",7,"Yes","Yes","DSL","No","No","No","Yes","Month-to-month",74.65,521.1,"Yes"
"3226","No",13,"Yes","No","DSL","Yes","No","No","No","Month-to-month",71.95,923.85,"No"
"3227","No",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.75,141.1,"No"
"3228","Yes",12,"Yes","No","DSL","No","No","No","No","Month-to-month",56.3,628.65,"No"
"3229","Yes",53,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",105.25,5576.3,"No"
"3230","No",12,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.2,1046.1,"Yes"
"3231","Yes",63,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.55,1245.6,"No"
"3232","No",15,"Yes","No","DSL","Yes","Yes","Yes","Yes","Month-to-month",84.45,1287.85,"No"
"3233","Yes",36,"Yes","No","DSL","Yes","Yes","No","No","One year",53.65,1939.35,"No"
"3234","Yes",4,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",29.9,118.25,"No"
"3235","Yes",24,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.7,452.55,"No"
"3236","No",61,"No","No phone service","DSL","Yes","Yes","Yes","Yes","One year",43.7,2696.55,"No"
"3237","No",16,"Yes","Yes","DSL","No","Yes","No","No","Month-to-month",55.3,875.35,"No"
"3238","Yes",65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.85,1267.05,"No"
"3239","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.65,494.9,"No"
"3240","No",16,"Yes","No","DSL","No","No","No","Yes","Month-to-month",49.45,799,"No"
"3241","Yes",54,"Yes","Yes","Fiber optic","Yes","Yes","No","No","One year",106.55,5763.3,"Yes"
"3242","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.1,20.1,"Yes"
"3243","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.45,106.9,"No"
"3244","No",19,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",39.7,710.05,"No"
"3245","No",10,"Yes","Yes","DSL","Yes","No","No","No","Month-to-month",54.5,568.2,"No"
"3246","Yes",23,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Month-to-month",83.8,1900.25,"Yes"
"3247","No",3,"Yes","No","DSL","No","No","No","No","Month-to-month",55.15,159.15,"Yes"
"3248","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",111.6,8012.75,"No"
"3249","Yes",10,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",86.65,856.65,"Yes"
"3250","Yes",10,"Yes","No","DSL","No","Yes","Yes","No","Month-to-month",55.55,551.3,"No"
"3251","Yes",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.55,184.95,"No"
"3252","No",37,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Month-to-month",106.75,4056.75,"Yes"
"3253","Yes",17,"Yes","Yes","DSL","Yes","No","No","Yes","One year",62.1,1096.65,"No"
"3254","Yes",36,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Month-to-month",104.5,3684.95,"No"
"3255","No",17,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",101.8,1752.45,"No"
"3256","Yes",66,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","One year",110.6,7210.85,"No"
"3257","Yes",61,"Yes","No","DSL","Yes","Yes","Yes","Yes","One year",84.9,5264.5,"No"
"3258","No",22,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",93.2,2157.3,"No"
"3259","No",1,"No","No phone service","DSL","No","No","No","No","Month-to-month",24.4,24.4,"No"
"3260","No",6,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.55,433.95,"No"
"3261","No",31,"Yes","No","Fiber optic","No","Yes","No","Yes","Month-to-month",78.45,2435.15,"Yes"
"3262","Yes",68,"Yes","No","DSL","Yes","Yes","Yes","Yes","Two year",85,5607.75,"No"
"3263","Yes",34,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",87.45,2874.15,"Yes"
"3264","Yes",52,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Month-to-month",85.8,4433.3,"No"
"3265","No",10,"Yes","No","Fiber optic","No","No","Yes","Yes","Month-to-month",91.1,964.35,"No"
"3266","Yes",29,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.75,1974.8,"Yes"
"3267","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.1,1460.85,"No"
"3268","Yes",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.05,951.55,"No"
"3269","Yes",24,"Yes","Yes","DSL","Yes","No","No","No","One year",74.8,1821.2,"No"
"3270","No",65,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","One year",24.8,1600.95,"No"
"3271","No",4,"Yes","Yes","Fiber optic","No","No","No","Yes","Month-to-month",100.85,399.25,"No"
"3272","Yes",12,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",101.35,1218.55,"Yes"
"3273","No",1,"Yes","Yes","Fiber optic","Yes","No","No","No","Month-to-month",81.7,81.7,"Yes"
"3274","No",33,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",68.25,2171.15,"Yes"
"3275","No",34,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Month-to-month",105.1,3634.8,"No"
"3276","Yes",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.4,292.4,"No"
"3277","No",4,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",79.15,317.25,"Yes"
"3278","Yes",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20,218.55,"No"
"3279","Yes",65,"Yes","Yes","DSL","No","Yes","No","Yes","Two year",79.4,5071.9,"No"
"3280","Yes",23,"Yes","No","DSL","Yes","No","No","Yes","One year",57.2,1423.35,"No"
"3281","Yes",55,"Yes","No","DSL","Yes","Yes","Yes","No","Two year",58.6,3068.6,"No"
"3282","Yes",49,"Yes","No","Fiber optic","No","Yes","No","No","Two year",94.8,4690.65,"No"
"3283","Yes",60,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",102.5,6157.6,"No"
"3284","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.35,1442.65,"No"
"3285","No",40,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.9,3369.05,"No"
"3286","Yes",67,"Yes","No","DSL","Yes","Yes","No","Yes","Two year",69.2,4671.65,"No"
"3287","No",35,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",95.45,3474.05,"Yes"
"3288","Yes",19,"Yes","Yes","Fiber optic","No","No","No","Yes","One year",100.95,1875.55,"Yes"
"3289","Yes",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.85,272.35,"No"
"3290","No",41,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",88.5,3645.05,"No"
"3291","No",4,"No","No phone service","DSL","Yes","No","Yes","No","Month-to-month",35,135.75,"No"
"3292","Yes",24,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",55.15,1319.85,"No"
"3293","No",5,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",50.95,229.4,"No"
"3294","No",5,"Yes","Yes","DSL","No","Yes","No","No","Month-to-month",64,370.25,"No"
"3295","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.1,69.1,"Yes"
"3296","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",80.2,5714.2,"No"
"3297","No",24,"Yes","No","DSL","No","No","Yes","No","Month-to-month",49.3,1233.25,"No"
"3298","Yes",42,"Yes","Yes","DSL","Yes","No","Yes","Yes","Two year",84.35,3571.6,"No"
"3299","No",4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.05,83.3,"No"
"3300","No",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","One year",117.2,8035.95,"No"
"3301","Yes",33,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.1,579.4,"No"
"3302","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.6,69.6,"Yes"
"3303","No",31,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",103.45,3066.45,"Yes"
"3304","No",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",77.95,305.55,"Yes"
"3305","Yes",69,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",109.95,7634.25,"No"
"3306","No",38,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",94.75,3653,"No"
"3307","Yes",3,"Yes","No","Fiber optic","No","Yes","No","Yes","Month-to-month",80,241.3,"No"
"3308","Yes",48,"Yes","Yes","DSL","No","Yes","No","Yes","Two year",79.65,3870.3,"No"
"3309","Yes",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.2,387.9,"No"
"3310","No",25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.9,527.5,"No"
"3311","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",78.45,78.45,"Yes"
"3312","No",48,"No","No phone service","DSL","Yes","Yes","No","No","Month-to-month",44.8,2104.55,"No"
"3313","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.3,20.3,"No"
"3314","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",19.2,19.2,"No"
"3315","No",37,"Yes","No","Fiber optic","No","Yes","Yes","No","One year",80.05,3019.1,"No"
"3316","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","One year",107.35,7051.95,"No"
"3317","Yes",26,"No","No phone service","DSL","Yes","Yes","Yes","No","One year",47.85,1190.5,"No"
"3318","Yes",63,"Yes","No","DSL","Yes","Yes","No","Yes","One year",70.8,4448.8,"No"
"3319","No",10,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",29.5,255.25,"Yes"
"3320","No",2,"Yes","No","DSL","Yes","No","No","No","Month-to-month",70.75,146.9,"Yes"
"3321","Yes",18,"Yes","No","DSL","Yes","No","No","No","Month-to-month",59.1,1011.05,"No"
"3322","Yes",64,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",25.55,1714.95,"No"
"3323","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.45,762.5,"Yes"
"3324","No",28,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.25,535.35,"No"
"3325","No",1,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",75.55,75.55,"No"
"3326","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",85.65,338.9,"Yes"
"3327","No",38,"Yes","No","DSL","No","Yes","Yes","Yes","One year",70.15,2497.35,"Yes"
"3328","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",95.3,6273.4,"No"
"3329","No",1,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.25,70.25,"No"
"3330","Yes",18,"Yes","No","DSL","No","No","No","Yes","Month-to-month",50.3,908.75,"No"
"3331","No",51,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",97.8,4913.3,"Yes"
"3333","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",46.3,46.3,"Yes"
"3334","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",19.35,212.3,"No"
"3335","No",41,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",106.3,4443.45,"Yes"
"3336","No",12,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",25,316.2,"No"
"3337","Yes",55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.3,1079.05,"No"
"3338","No",7,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",75.35,564.65,"No"
"3339","No",12,"Yes","No","Fiber optic","No","No","Yes","Yes","Month-to-month",89.4,1095.65,"Yes"
"3340","Yes",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",88,6161.9,"No"
"3341","No",5,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",83.15,446.05,"Yes"
"3342","No",49,"Yes","No","DSL","No","No","No","No","Month-to-month",43.8,2106.05,"No"
"3343","No",40,"No","No phone service","DSL","Yes","Yes","Yes","No","One year",62.05,2511.55,"No"
"3344","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.1,318.6,"No"
"3345","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",74.15,811.8,"Yes"
"3346","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",101.35,7323.15,"No"
"3347","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.05,186.05,"No"
"3348","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",20.9,454,"No"
"3349","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","One year",105.9,7521.95,"No"
"3350","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",99.5,1056.95,"Yes"
"3351","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",44.15,44.15,"Yes"
"3352","No",16,"Yes","No","DSL","No","Yes","No","Yes","Month-to-month",53.9,834.15,"Yes"
"3353","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",85.45,85.45,"Yes"
"3354","Yes",12,"Yes","No","Fiber optic","No","Yes","No","No","Month-to-month",85.05,999.8,"No"
"3355","No",54,"No","No phone service","DSL","Yes","No","No","Yes","One year",44.1,2369.7,"No"
"3356","Yes",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Two year",90.2,6297.65,"No"
"3357","Yes",4,"Yes","Yes","DSL","No","No","No","No","Month-to-month",50.85,239.55,"Yes"
"3358","No",1,"Yes","No","DSL","No","No","Yes","No","Month-to-month",59.2,59.2,"Yes"
"3359","No",27,"Yes","No","DSL","Yes","No","No","Yes","Month-to-month",53.45,1461.45,"No"
